任务ID,优先级,任务状态,问题类型,供应商SKU,Wayfair Listing,产品名,SKU价值分层,促销准入,触发原因,建议动作,执行前检查,复盘指标,证据来源,证据链接,排序分
TASK-MFC-D2-B-PROMO-001,P0,待执行,促销,MFC-D2-B,DMOM1020,,B,禁止促销/先修复,TAG不足80%；可售率RED,不要进深折扣促销；先处理利润、客诉、库存或 Listing 承接问题。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,92.0
TASK-MFC-D2-W-PROMO-001,P0,待执行,促销,MFC-D2-W,DMOM1020,,B,禁止促销/先修复,TAG不足80%,不要进深折扣促销；先处理利润、客诉、库存或 Listing 承接问题。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,92.0
TASK-MFC-D3-B-PROMO-001,P0,待执行,促销,MFC-D3-B,DMOM1022,,B,禁止促销/先修复,TAG不足80%,不要进深折扣促销；先处理利润、客诉、库存或 Listing 承接问题。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,92.0
TASK-MFC-D3-W-PROMO-001,P0,待执行,促销,MFC-D3-W,DMOM1022,,B,禁止促销/先修复,TAG不足80%,不要进深折扣促销；先处理利润、客诉、库存或 Listing 承接问题。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,92.0
TASK-VF-ZH-4B-PROMO-001,P0,待执行,促销,VF-ZH-4B,DMOM1029,,C,禁止促销/先修复,评分低于4.0,不要进深折扣促销；先处理利润、客诉、库存或 Listing 承接问题。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,92.0
TASK-VF-ZH-4W-PROMO-001,P0,待执行,促销,VF-ZH-4W,DMOM1029,,C,禁止促销/先修复,评分低于4.0,不要进深折扣促销；先处理利润、客诉、库存或 Listing 承接问题。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,92.0
TASK-VFC-3B-PROMO-001,P0,待执行,促销,VFC-3B,DMOM1019,,C,禁止促销/先修复,TAG不足80%；历史深折扣促销未提升,不要进深折扣促销；先处理利润、客诉、库存或 Listing 承接问题。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,92.0
TASK-VFC-3W-PROMO-001,P0,待执行,促销,VFC-3W,DMOM1019,,B,禁止促销/先修复,TAG不足80%,不要进深折扣促销；先处理利润、客诉、库存或 Listing 承接问题。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,92.0
TASK-VFC-4B-PROMO-001,P0,待执行,促销,VFC-4B,DMOM1023,,C,禁止促销/先修复,卖家历史净毛利率低于15%；历史深折扣促销未提升,不要进深折扣促销；先处理利润、客诉、库存或 Listing 承接问题。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,92.0
TASK-5T-dong-183-120-PRICING-001,P0,待执行,定价,5T-dong-183-120,DMOM1015,1830-1200-600-洞洞板,C,禁止促销/先修复,先修成本：6月无成交，仅历史订单支撑；真实订单毛利率低于15%；历史存在0回款/异常订单；大促2B利润率低于12%；发货成本竞争百分位偏高；客诉退货竞争百分位偏高,先复核供应商可控成本与平台不可控扣项，不进大促（毛利率 11.5%、平台空间率 22.0%）；优先复核包裹尺寸、发货方式、仓库位置；回看Customer Feedback/退货原因，修说明、包装或质量；禁止深折扣促销，当前促销利润不够；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 22.0%→≥16%、Base/前台价 67%→≤72%、真实订单毛利率 11.5%→≥25%、发货成本分位 0.79→≤0.70。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,88.0
TASK-VFC-4B-PRICING-001,P0,待执行,定价,VFC-4B,DMOM1023,窄卡4抽黑色,C,禁止促销/先修复,先修成本：6月无成交，仅历史订单支撑；真实订单毛利率一般；历史存在0回款/异常订单；YB客诉扣款有记录；大促2B利润率低于12%,先复核供应商可控成本与平台不可控扣项，不进大促（毛利率 18.3%、平台空间率 22.3%）；禁止深折扣促销，当前促销利润不够；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价；先复盘客诉扣款原因，再决定是否促销或放量,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 22.3%→≥16%、Base/前台价 70%→≤72%、真实订单毛利率 18.3%→≥25%。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,88.0
TASK-2T-Kayak-PROMO-001,P1,待执行,促销,2T-Kayak,DMOM1001,,C,禁止促销/先修复,评分低于4.0；可售率RED；综合经营优先级为 P1，按店铺价值降级处理,不要进深折扣促销；先处理利润、客诉、库存或 Listing 承接问题。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,78.0
TASK-3T-B-PROMO-001,P1,待执行,促销,3T-B,DMOM1017,,C,禁止促销/先修复,TAG不足80%；历史深折扣促销未提升；综合经营优先级为 P1，按店铺价值降级处理,不要进深折扣促销；先处理利润、客诉、库存或 Listing 承接问题。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,78.0
TASK-3T-B-PRICING-001,P1,待执行,定价,3T-B,DMOM1017,3层置物架-黑,C,禁止促销/先修复,先修成本：6月成交样本不足；大促2B利润率低于12%；平台空间偏低；Base/前台价高于72%；综合经营优先级为 P1，按店铺价值降级处理,先复核供应商可控成本与平台不可控扣项，不进大促（毛利率 25.7%、平台空间率 13.8%）；禁止深折扣促销，当前促销利润不够,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 13.8%→≥16%、Base/前台价 76%→≤72%、真实订单毛利率 25.7%→≥25%。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,78.0
TASK-3T-Kayak-PROMO-001,P1,待执行,促销,3T-Kayak,DMOM1004,,C,禁止促销/先修复,可售率RED；综合经营优先级为 P1，按店铺价值降级处理,不要进深折扣促销；先处理利润、客诉、库存或 Listing 承接问题。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,78.0
TASK-3T-W-PROMO-001,P1,待执行,促销,3T-W,DMOM1017,,C,禁止促销/先修复,卖家历史净毛利率低于15%；TAG不足80%；历史深折扣促销未提升；综合经营优先级为 P1，按店铺价值降级处理,不要进深折扣促销；先处理利润、客诉、库存或 Listing 承接问题。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,78.0
TASK-3T-W-PRICING-001,P1,待执行,定价,3T-W,DMOM1017,3层置物架-白,C,禁止促销/先修复,先修成本：YB客诉扣款有记录；大促2B利润率低于12%；平台空间偏低；Base/前台价高于72%；综合经营优先级为 P1，按店铺价值降级处理,先复核供应商可控成本与平台不可控扣项，不进大促（毛利率 25.7%、平台空间率 13.6%）；禁止深折扣促销，当前促销利润不够；先复盘客诉扣款原因，再决定是否促销或放量,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 13.6%→≥16%、Base/前台价 75%→≤72%、真实订单毛利率 25.7%→≥25%。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,78.0
TASK-5T-1600-800-PROMO-001,P1,待执行,促销,5T-1600-800,DMOM1000,,C,禁止促销/先修复,TAG不足80%；综合经营优先级为 P1，按店铺价值降级处理,不要进深折扣促销；先处理利润、客诉、库存或 Listing 承接问题。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,78.0
TASK-5T-1830-900-PROMO-001,P1,待执行,促销,5T-1830-900,DMOM1000,,C,禁止促销/先修复,TAG不足80%；综合经营优先级为 P1，按店铺价值降级处理,不要进深折扣促销；先处理利润、客诉、库存或 Listing 承接问题。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,78.0
TASK-5T-Niudun-PROMO-001,P1,待执行,促销,5T-Niudun,DMOM1005,,C,禁止促销/先修复,可售率RED；综合经营优先级为 P1，按店铺价值降级处理,不要进深折扣促销；先处理利润、客诉、库存或 Listing 承接问题。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,78.0
TASK-5T-Niudun-PRICING-001,P1,待执行,定价,5T-Niudun,DMOM1005,,C,禁止促销/先修复,不建议提价：6月无成交，仅历史订单支撑；真实订单毛利率一般；Base/前台价高于72%；发货成本竞争百分位偏高；综合经营优先级为 P1，按店铺价值降级处理,不要先提Base（Base/前台价 98% 超 72% 红线）；本SKU首要瓶颈是发货成本（竞争分位 0.76）：优先复核包裹尺寸、发货方式、仓库位置；先拆供应商可控项：拿货、包装、头程/发货成本，再查平台扣项是否异常；优先复核包裹尺寸、发货方式、仓库位置,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 23.3%→≥16%、Base/前台价 98%→≤72%、真实订单毛利率 18.2%→≥25%、发货成本分位 0.76→≤0.70。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,78.0
TASK-5T-dong-198-120-PROMO-001,P1,待执行,促销,5T-dong-198-120,DMOM1015,,C,禁止促销/先修复,卖家历史净毛利率低于15%；TAG不足80%；可售率RED；综合经营优先级为 P1，按店铺价值降级处理,不要进深折扣促销；先处理利润、客诉、库存或 Listing 承接问题。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,78.0
TASK-5T-dong-198-120-PRICING-001,P1,待执行,定价,5T-dong-198-120,DMOM1015,1980-1200-457-洞洞板,C,禁止促销/先修复,先修成本：6月无成交，仅历史订单支撑；真实订单毛利率低于15%；历史存在0回款/异常订单；客诉退货竞争百分位偏高；综合经营优先级为 P1，按店铺价值降级处理,先复核供应商可控成本与平台不可控扣项，不进大促（毛利率 -4.5%、平台空间率 22.0%）；回看Customer Feedback/退货原因，修说明、包装或质量；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 22.0%→≥16%、Base/前台价 67%→≤72%、真实订单毛利率 -4.5%→≥25%。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,78.0
TASK-5T-wangge-PROMO-001,P1,待执行,促销,5T-wangge,DMOM1016,,C,禁止促销/先修复,卖家历史净毛利率低于15%；TAG不足80%；综合经营优先级为 P1，按店铺价值降级处理,不要进深折扣促销；先处理利润、客诉、库存或 Listing 承接问题。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,78.0
TASK-5T-wangge-PRICING-001,P1,待执行,定价,5T-wangge,DMOM1016,网格货架,C,禁止促销/先修复,先修成本：6月无成交，仅历史订单支撑；真实订单毛利率低于15%；历史存在0回款/异常订单；客诉退货竞争百分位偏高；综合经营优先级为 P1，按店铺价值降级处理,先复核供应商可控成本与平台不可控扣项，不进大促（毛利率 0.0%、平台空间率 22.0%）；回看Customer Feedback/退货原因，修说明、包装或质量；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 22.0%→≥16%、Base/前台价 70%→≤72%、真实订单毛利率 0.0%→≥25%。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,78.0
TASK-LFC-4W-PROMO-001,P1,待执行,促销,LFC-4W,DMOM1027,,C,禁止促销/先修复,评分低于4.0；历史深折扣促销未提升；综合经营优先级为 P1，按店铺价值降级处理,不要进深折扣促销；先处理利润、客诉、库存或 Listing 承接问题。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,78.0
TASK-LFC-4W-PRICING-001,P1,待执行,定价,LFC-4W,DMOM1027,宽卡4抽白色,C,禁止促销/先修复,不建议提价：6月无成交，仅历史订单支撑；真实订单毛利率一般；历史存在0回款/异常订单；供货价竞争百分位偏高；综合经营优先级为 P1，按店铺价值降级处理,不要先提Base（供货价竞争分位 0.76 偏高）；本SKU首要瓶颈是供货价（竞争分位 0.76）：优先谈拿货价或降包装/头程成本；先拆供应商可控项：拿货、包装、头程/发货成本，再查平台扣项是否异常；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 22.3%→≥16%、Base/前台价 71%→≤72%、真实订单毛利率 20.7%→≥25%、供货价分位 0.76→≤0.70。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,78.0
TASK-LFC-5B-PROMO-001,P1,待执行,促销,LFC-5B,DMOM1024,,C,禁止促销/先修复,可售率RED；综合经营优先级为 P1，按店铺价值降级处理,不要进深折扣促销；先处理利润、客诉、库存或 Listing 承接问题。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,78.0
TASK-LFC-5B-PRICING-001,P1,待执行,定价,LFC-5B,DMOM1024,宽卡5抽黑色,C,禁止促销/先修复,不建议提价：成交样本不足；真实订单毛利率一般；大促2B利润率低于12%；供货价竞争百分位偏高；发货成本竞争百分位偏高；综合经营优先级为 P1，按店铺价值降级处理,不要先提Base（供货价竞争分位 0.73 偏高）；本SKU首要瓶颈是发货成本（竞争分位 0.73）：优先复核包裹尺寸、发货方式、仓库位置；先拆供应商可控项：拿货、包装、头程/发货成本，再查平台扣项是否异常；优先复核包裹尺寸、发货方式、仓库位置；禁止深折扣促销，当前促销利润不够,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 21.5%→≥16%、Base/前台价 70%→≤72%、真实订单毛利率 24.0%→≥25%、发货成本分位 0.73→≤0.70、供货价分位 0.73→≤0.70。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,78.0
TASK-LFC-5W-PROMO-001,P1,待执行,促销,LFC-5W,DMOM1024,,C,禁止促销/先修复,可售率RED；综合经营优先级为 P1，按店铺价值降级处理,不要进深折扣促销；先处理利润、客诉、库存或 Listing 承接问题。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,78.0
TASK-LFC-5W-PRICING-001,P1,待执行,定价,LFC-5W,DMOM1024,宽卡5抽白色,C,禁止促销/先修复,不建议提价：成交样本不足；真实订单毛利率一般；历史存在0回款/异常订单；大促2B利润率低于12%；供货价竞争百分位偏高；综合经营优先级为 P1，按店铺价值降级处理,不要先提Base（供货价竞争分位 0.73 偏高）；本SKU首要瓶颈是供货价（竞争分位 0.73）：优先谈拿货价或降包装/头程成本；先拆供应商可控项：拿货、包装、头程/发货成本，再查平台扣项是否异常；禁止深折扣促销，当前促销利润不够；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 20.9%→≥16%、Base/前台价 72%→≤72%、真实订单毛利率 24.0%→≥25%、供货价分位 0.73→≤0.70。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,78.0
TASK-VFC-2W-PROMO-001,P1,待执行,促销,VFC-2W,DMOM1026,,C,禁止促销/先修复,卖家历史净毛利率低于15%；综合经营优先级为 P1，按店铺价值降级处理,不要进深折扣促销；先处理利润、客诉、库存或 Listing 承接问题。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,78.0
TASK-VFC-2W-PRICING-001,P1,待执行,定价,VFC-2W,DMOM1026,窄卡2抽白色,C,禁止促销/先修复,先修成本：6月无成交，仅历史订单支撑；真实订单毛利率低于15%；历史存在0回款/异常订单；大促2B利润率低于12%；综合经营优先级为 P1，按店铺价值降级处理,先复核供应商可控成本与平台不可控扣项，不进大促（毛利率 4.6%、平台空间率 22.8%）；禁止深折扣促销，当前促销利润不够；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 22.8%→≥16%、Base/前台价 67%→≤72%、真实订单毛利率 4.6%→≥25%。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,78.0
TASK-VFC-4W-PROMO-001,P1,待执行,促销,VFC-4W,DMOM1023,,C,禁止促销/先修复,卖家历史净毛利率低于15%；历史深折扣促销未提升；综合经营优先级为 P1，按店铺价值降级处理,不要进深折扣促销；先处理利润、客诉、库存或 Listing 承接问题。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,78.0
TASK-VFC-4W-PRICING-001,P1,待执行,定价,VFC-4W,DMOM1023,窄卡4抽白色,C,禁止促销/先修复,先修成本：6月无成交，仅历史订单支撑；真实订单毛利率低于15%；历史存在0回款/异常订单；大促2B利润率低于12%；综合经营优先级为 P1，按店铺价值降级处理,先复核供应商可控成本与平台不可控扣项，不进大促（毛利率 -1.7%、平台空间率 22.3%）；禁止深折扣促销，当前促销利润不够；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 22.3%→≥16%、Base/前台价 70%→≤72%、真实订单毛利率 -1.7%→≥25%。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,78.0
TASK-LFC-2W-PROMO-001,P1,待执行,促销,LFC-2W,DMOM1018,,B,暂不促销,利润/平台空间/承接未完全通过,暂不报名促销；先确认库存、利润和 Listing 承接。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,70.0
TASK-VFC-5B-PROMO-001,P1,待执行,促销,VFC-5B,DMOM1028,,C,暂不促销,利润/平台空间/承接未完全通过,暂不报名促销；先确认库存、利润和 Listing 承接。,先看 SKU 分层与促销准入清单，再看定价体检和库存映射。,下次复盘看：促销期订单、促销后毛利、是否出现客诉或退货异常。,SKU 分层与促销准入清单,./Wayfair_6月SKU分层与促销准入清单_20260604.html,70.0
TASK-LFC-2B-680-LISTING-001,P1,待执行,Listing,LFC-2B-680,DMOM1021,,A,可参加5%-10%轻促,Review 数 11 低于 20；客户反馈出现 Damage / Missing / Defect 类问题,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,69.0
